product_id,h_code
IFF-QB00244,H317
IFF-QB00244,H361
IFF-QB00322,H227
IFF-QB00322,H304
IFF-QB00322,H315
IFF-QB00322,H317
IFF-QB00322,H319
IFF-QB00322,H361
IFF-QB00145,H227
IFF-QB00145,H304
IFF-QB00145,H317
IFF-QB00145,H361
IFF-QB00014,H315
IFF-QB00014,H317
IFF-QB00014,H319
IFF-QB00014,H361
IFF-QB00146,H226
IFF-QB00146,H304
IFF-QB00146,H315
IFF-QB00146,H317
IFF-QB00146,H361
ASH-QB00060,H317
ASH-QB00020,H303
ASH-QB00020,H317
ASH-QB00020,H319
ASH-QB00020,H372
IFF-QB00187,H227
IFF-QB00187,H315
IFF-QB00187,H317
IFF-QB00187,H319
IFF-QB00187,H361
IFF-QB00015,H227
IFF-QB00015,H315
IFF-QB00015,H317
IFF-QB00015,H319
IFF-QB00147,H227
IFF-QB00147,H315
IFF-QB00147,H317
IFF-QB00147,H319
IFF-QB00147,H361
IFF-QB00053,H227
IFF-QB00053,H303
IFF-QB00053,H315
IFF-QB00053,H317
IFF-QB00053,H319
IFF-QB00053,H361
IFF-QB00245,H227
IFF-QB00245,H315
IFF-QB00245,H317
IFF-QB00245,H319
IFF-QB00245,H361
VAR-QB00102,H318
VAR-QB00102,H402
VAR-QB00103,H318
VAR-QB00103,H315
VAR-QB00103,H401
VAR-QB00104,H301
VAR-QB00104,H314
VAR-QB00104,H317
VAR-QB00104,H318
VAR-QB00104,H330
VAR-QB00104,H334
VAR-QB00104,H335
VAR-QB00104,H400
VAR-QB00104,H411
IFF-QB00246,H317
IFF-QB00054,H227
IFF-QB00054,H315
IFF-QB00054,H317
IFF-QB00054,H319
IFF-QB00054,H351
IFF-QB00054,H361
IFF-QB00094,H227
IFF-QB00094,H304
IFF-QB00094,H315
IFF-QB00094,H317
IFF-QB00094,H319
IFF-QB00094,H361
IFF-QB00319,H317
IFF-QB00319,H361
KAO-QB00013,H314
KAO-QB00013,H318
IFF-QB00055,H317
IFF-QB00055,H361
IFF-QB00200,H315
IFF-QB00200,H317
IFF-QB00200,H361
IFF-QB00095,H227
IFF-QB00095,H304
IFF-QB00095,H315
IFF-QB00095,H317
IFF-QB00095,H318
IFF-QB00095,H361
IFF-QB00188,H227
IFF-QB00188,H302
IFF-QB00188,H315
IFF-QB00188,H317
IFF-QB00188,H319
IFF-QB00188,H361
KAO-QB00086,H302
KAO-QB00086,H314
KAO-QB00086,H318
KAO-QB00086,H373
KAO-QB00086,H304
ASH-QB00061,H303
ASH-QB00061,H319
VAR-QB00105,H225
VAR-QB00105,H319
VAR-QB00105,H336
VAR-QB00106,H315
IFF-QB00016,H317
IFF-QB00016,H361
IFF-QB00017,H227
IFF-QB00017,H317
IFF-QB00249,H227
IFF-QB00249,H315
IFF-QB00249,H317
IFF-QB00249,H319
IFF-QB00249,H361
IFF-QB00150,H227
KAO-QB00084,H302
KAO-QB00084,H314
KAO-QB00084,H318
KAO-QB00084,H400
KAO-QB00084,H410
KAO-QB00014,H302
KAO-QB00014,H314
KAO-QB00014,H318
KAO-QB00014,H351
KAO-QB00014,H373
KAO-QB00014,H400
KAO-QB00014,H410
KAO-QB00054,H226
KAO-QB00054,H412
KAO-QB00059,H226
KAO-QB00059,H412
IFF-QB00151,H227
IFF-QB00151,H304
IFF-QB00151,H315
IFF-QB00151,H317
IFF-QB00151,H319
IFF-QB00151,H361
IFF-QB00018,H227
IFF-QB00018,H304
IFF-QB00018,H315
IFF-QB00018,H317
IFF-QB00018,H319
IFF-QB00018,H361
IFF-QB00018,H371
IFF-QB00324,H315
IFF-QB00324,H317
IFF-QB00324,H319
IFF-QB00324,H361
IFF-QB00250,H227
IFF-QB00250,H303
IFF-QB00250,H315
IFF-QB00250,H317
IFF-QB00250,H319
IFF-QB00250,H411
IFF-QB00251,H227
IFF-QB00251,H315
IFF-QB00251,H317
IFF-QB00251,H319
IFF-QB00251,H336
IFF-QB00019,H227
IFF-QB00019,H315
IFF-QB00019,H317
IFF-QB00019,H319
IFF-QB00019,H361
IFF-QB00019,H371
IFF-QB00020,H227
IFF-QB00020,H315
IFF-QB00020,H317
IFF-QB00020,H319
IFF-QB00020,H361
IFF-QB00020,H71
IFF-QB00021,H226
IFF-QB00021,H304
IFF-QB00021,H315
IFF-QB00021,H317
IFF-QB00021,H319
IFF-QB00021,H361
VAR-QB00108,H315
VAR-QB00108,H318
VAR-QB00109,H315
VAR-QB00109,H319
IFF-QB00022,H227
IFF-QB00022,H304
IFF-QB00022,H315
IFF-QB00022,H317
IFF-QB00022,H318
IFF-QB00022,H361
IFF-QB00023,H227
IFF-QB00023,H304
IFF-QB00023,H315
IFF-QB00023,H317
IFF-QB00023,H319
IFF-QB00023,H361
IFF-QB00024,H226
IFF-QB00024,H304
IFF-QB00024,H315
IFF-QB00024,H317
IFF-QB00024,H319
IFF-QB00024,H336
IFF-QB00024,H361
IFF-QB00096,H227
IFF-QB00096,H317
IFF-QB00096,H361
IFF-QB00201,H315
IFF-QB00201,H317
IFF-QB00201,H319
IFF-QB00201,H361
IFF-QB00097,H227
IFF-QB00097,H315
IFF-QB00097,H317
IFF-QB00097,H319
VAR-QB00111,H303
VAR-QB00111,H318
VAR-QB00111,H320
VAR-QB00111,H401
VAR-QB00111,H412
ASH-QB00067,H319
ASH-QB00024,H318
ASH-QB00024,H361
ASH-QB00025,H317
ASH-QB00025,H318
IFF-QB00202,H317
IFF-QB00202,H361
IFF-QB00056,H227
IFF-QB00056,H315
IFF-QB00056,H317
IFF-QB00056,H319
IFF-QB00056,H361
IFF-QB00057,H317
IFF-QB00057,H319
IFF-QB00057,H351
IFF-QB00057,H361
IFF-QB00152,H317
IFF-QB00152,H361
IFF-QB00036,H227
IFF-QB00036,H315
IFF-QB00036,H317
IFF-QB00036,H319
IFF-QB00036,H361
IFF-QB00025,H226
IFF-QB00025,H315
IFF-QB00025,H316
IFF-QB00025,H317
IFF-QB00025,H361
IFF-QB00254,H227
IFF-QB00254,H315
IFF-QB00254,H317
IFF-QB00254,H319
IFF-QB00254,H361
IFF-QB00209,H227
IFF-QB00209,H304
IFF-QB00209,H315
IFF-QB00209,H317
IFF-QB00209,H318
IFF-QB00209,H361
IFF-QB00209,H371
IFF-QB00099,H227
IFF-QB00099,H315
IFF-QB00099,H317
IFF-QB00099,H319
VAR-QB00112,H227
VAR-QB00112,H303
VAR-QB00112,H315
VAR-QB00112,H317
VAR-QB00112,H411
VAR-QB00113,H315
VAR-QB00113,H319
IFF-QB00255,H227
IFF-QB00255,H304
IFF-QB00255,H315
IFF-QB00255,H317
IFF-QB00256,H227
IFF-QB00256,H304
IFF-QB00256,H315
IFF-QB00256,H317
IFF-QB00256,H410
IFF-QB00100,H227
IFF-QB00100,H315
IFF-QB00100,H317
IFF-QB00100,H411
VAR-QB00114,H319
