product_id,p_code
IFF-QB00133,P305+P351+P338
IFF-QB00085,P261
IFF-QB00085,P264
IFF-QB00085,P280
IFF-QB00085,P302+P352
IFF-QB00085,P308+P313
IFF-QB00085,P333+P313
IFF-QB00205,P261
IFF-QB00205,P280
IFF-QB00205,P302+P352
IFF-QB00205,P333+P313
IFF-QB00205,P362+P364
IFF-QB00205,P501
IFF-QB00134,P210
IFF-QB00134,P280
IFF-QB00134,P302+P352
IFF-QB00134,P305+P351+P338
IFF-QB00086,P280
IFF-QB00086,P302+P352
IFF-QB00042,P210
IFF-QB00042,P261
IFF-QB00042,P280
IFF-QB00042,P302+P352
IFF-QB00042,P305+P351+P338
IFF-QB00042,P308+P313
IFF-QB00042,P333+P313
IFF-QB00042,P337+P313
IFF-QB00042,P370+P378
IFF-QB00087,P261
IFF-QB00087,P280
IFF-QB00087,P302+P352
IFF-QB00087,P308+P313
IFF-QB00087,P333+P313
IFF-QB00135,P261
IFF-QB00135,P280
IFF-QB00135,P302+P352
IFF-QB00135,P333+P313
IFF-QB00135,P362+P3624
IFF-QB00135,P501
IFF-QB00043,P210
IFF-QB00043,P261
IFF-QB00043,P280
IFF-QB00043,P302+P352
IFF-QB00043,P308+P313
IFF-QB00043,P333+P313
IFF-QB00043,P370+P378
VAR-QB00042,P264
VAR-QB00042,P280
VAR-QB00042,P337+P313
VAR-QB00042,P305+P351+P338
VAR-QB00044,P264
VAR-QB00044,P280
VAR-QB00044,P337+P313
VAR-QB00044,P305+P351+P338
VAR-QB00047,P301+P310+P330
VAR-QB00047,P301+P330+P331
VAR-QB00047,P303+P361+P353
VAR-QB00047,P304+P340+P310
VAR-QB00047,P305+P351+P338
VAR-QB00047,P308+P313
VAR-QB00047,P333+P313
VAR-QB00047,P370+P378
VAR-QB00047,P391
VAR-QB00048,P280
VAR-QB00048,P273
VAR-QB00048,P271
VAR-QB00048,P264
VAR-QB00048,P234
VAR-QB00048,P305+P351+P338
VAR-QB00048,P310
VAR-QB00048,P303+P361+P353
VAR-QB00048,P304+P340
VAR-QB00048,P301+P330+P331
VAR-QB00048,P391
VAR-QB00048,P390
VAR-QB00048,P403+P233
VAR-QB00048,P405
VAR-QB00048,P406
VAR-QB00048,P501
VAR-QB00049,P261
VAR-QB00049,P264
VAR-QB00049,P271
VAR-QB00049,P280
VAR-QB00049,P302+P352
VAR-QB00049,P304+P340
VAR-QB00049,P305+P351+P338
VAR-QB00049,P312
VAR-QB00049,P321
VAR-QB00049,P332+P313
VAR-QB00049,P337+P313
VAR-QB00049,P362
VAR-QB00049,P403+P233
VAR-QB00049,P405
VAR-QB00049,P501
VAR-QB00050,P280
VAR-QB00050,P273
VAR-QB00050,P271
VAR-QB00050,P260
VAR-QB00050,P264
VAR-QB00050,P234
VAR-QB00050,P305+P351+P338
VAR-QB00050,P310
VAR-QB00050,P303+P361+P353
VAR-QB00050,P304+P340
VAR-QB00050,P301+P330+P331
VAR-QB00050,P391
VAR-QB00050,P390
VAR-QB00050,P403+P233
VAR-QB00050,P405
VAR-QB00050,P406
VAR-QB00050,P501
VAR-QB00054,P261
VAR-QB00054,P270
VAR-QB00054,P271
VAR-QB00054,P273
VAR-QB00054,P280
VAR-QB00054,P264
VAR-QB00054,P234
VAR-QB00054,P305+P351+P338
VAR-QB00054,P310
VAR-QB00054,P303+P361+P353
VAR-QB00054,P304+P340
VAR-QB00054,P301+P330+P331
VAR-QB00054,P331
VAR-QB00054,P391
VAR-QB00054,P390
VAR-QB00054,P403+P233
VAR-QB00054,P405
VAR-QB00054,P406
VAR-QB00054,P501
VAR-QB00056,P261
VAR-QB00056,P270
VAR-QB00056,P271
VAR-QB00056,P273
VAR-QB00056,P280
VAR-QB00056,P264
VAR-QB00056,P234
VAR-QB00056,P305+P351+P338
VAR-QB00056,P310
VAR-QB00056,P303+P361+P353
VAR-QB00056,P304+P340
VAR-QB00056,P301+P330+P331
VAR-QB00056,P331
VAR-QB00056,P391
VAR-QB00056,P390
VAR-QB00056,P403+P233
VAR-QB00056,P405
VAR-QB00056,P406
VAR-QB00056,P501
VAR-QB00057,P261
VAR-QB00057,P270
VAR-QB00057,P271
VAR-QB00057,P273
VAR-QB00057,P280
VAR-QB00057,P264
VAR-QB00057,P234
VAR-QB00057,P305+P351+P338
VAR-QB00057,P310
VAR-QB00057,P303+P361+P353
VAR-QB00057,P304+P340
VAR-QB00057,P301+P330+P331
VAR-QB00057,P331
VAR-QB00057,P391
VAR-QB00057,P390
VAR-QB00057,P403+P233
VAR-QB00057,P405
VAR-QB00057,P406
VAR-QB00057,P501
VAR-QB00058,P261
VAR-QB00058,P270
VAR-QB00058,P271
VAR-QB00058,P273
VAR-QB00058,P280
VAR-QB00058,P264
VAR-QB00058,P234
VAR-QB00058,P305+P351+P338
VAR-QB00058,P310
VAR-QB00058,P303+P361+P353
VAR-QB00058,P304+P340
VAR-QB00058,P301+P330+P331
VAR-QB00058,P331
