Codigo interno ,Chemical Name,,NETO ,TARA ,BRUTO,,
VAR-QB00089,EXTRACTO DE SEMILLA DE TORONJA S/p,,,,,,
VAR-QB00134,SALICILATO DE METILO,,,,,,
VAR-QB00109,LESS QB S/P,,,,,,
VAR-QB00192,RESINA SUPER STYLE 30H,,,,,,
VAR-QB00025,BASE PARA DIFUSORES AMBIENTALES,,,,,,
VAR-QB00124,NS MICELLAR HYALURONIC,,,,,,
VAR-QB00115,MIT QB(CONSERVADOR LIBRE DE FORMOL) S/P,,,,,,
ASH-QB00026,N-DURHANCE ,,,,,,
ASH-QB00007,CERAPYL SLK S/P,,,,,,
ASH-QB00058,EFFISIN PE5,,,,,,
ASH-QB00054,SENSIVA SC50 (TOCPHEROL),,,,,,
ASH-QB00017,EUXYL PE 9010,,,,,,
KAO-QB00064,QUARTAMIN 60W30P,,,,,,
