product_id,pictogram_id
IFF-QB00261,GHS07
IFF-QB00261,GHS08
IFF-QB00261,GHS09
IFF-QB00262,GHS07
IFF-QB00262,GHS08
IFF-QB00160,GHS07
IFF-QB00160,GHS08
VAR-QB00133,GHS07
IFF-QB00264,GHS07
IFF-QB00264,GHS08
IFF-QB00321,GHS07
IFF-QB00321,GHS08
IFF-QB00266,GHS07
IFF-QB00266,GHS08
IFF-QB00029,GHS07
IFF-QB00029,GHS08
VAR-QB00134,GHS07
IFF-QB00106,GHS07
IFF-QB00106,GHS08
IFF-QB00268,GHS07
IFF-QB00268,GHS02
IFF-QB00268,GHS09
IFF-QB00030,GHS07
IFF-QB00030,GHS08
IFF-QB00031,GHS07
IFF-QB00031,GHS08
IFF-QB00032,GHS07
IFF-QB00032,GHS08
IFF-QB00163,GHS07
IFF-QB00163,GHS08
ASH-QB00075,GHS07
ASH-QB00068,GHS07
ASH-QB00054,GHS07
ASH-QB00054,GHS05
LUB-QB00064,GHS07
IFF-QB00107,GHS07
IFF-QB00107,GHS08
IFF-QB00033,GHS07
IFF-QB00033,GHS08
IFF-QB00033,GHS02
IFF-QB00164,GHS07
IFF-QB00164,GHS08
IFF-QB00269,GHS07
IFF-QB00269,GHS08
IFF-QB00269,GHS09
IFF-QB00214,GHS07
IFF-QB00214,GHS05
IFF-QB00214,GHS09
IFF-QB00165,GHS07
IFF-QB00165,GHS08
IFF-QB00166,GHS07
IFF-QB00166,GHS08
IFF-QB00167,GHS07
IFF-QB00167,GHS08
IFF-QB00168,GHS07
IFF-QB00168,GHS08
IFF-QB00170,GHS07
IFF-QB00170,GHS08
IFF-QB00171,GHS07
IFF-QB00171,GHS08
IFF-QB00171,GHS02
LUB-QB00066,GHS08
LUB-QB00068,GHS05
IFF-QB00270,GHS07
IFF-QB00062,GHS07
IFF-QB00062,GHS08
IFF-QB00034,GHS07
IFF-QB00034,GHS08
IFF-QB00071,GHS07
IFF-QB00071,GHS08
IFF-QB00071,GHS02
IFF-QB00273,GHS07
IFF-QB00273,GHS05
IFF-QB00273,GHS08
IFF-QB00273,GHS09
IFF-QB00199,GHS08
VAR-QB00166,GHS07
IFF-QB00193,GHS07
IFF-QB00193,GHS08
IFF-QB00203,GHS07
IFF-QB00204,GHS07
IFF-QB00204,GHS05
IFF-QB00204,GHS08
IFF-QB00108,GHS07
IFF-QB00109,GHS07
IFF-QB00109,GHS09
IFF-QB00194,GHS07
IFF-QB00194,GHS08
IFF-QB00275,GHS07
IFF-QB00275,GHS08
IFF-QB00215,GHS07
IFF-QB00215,GHS08
IFF-QB00215,GHS03
